CATEGORY	TICKER	DATE	OPEN	CLOSE
Crypto	ETH-USD	2021-02-27	1445.21	1460.57
Crypto	BTC-USD	2021-02-27	46324.15	46180.75
Crypto	ETH-USD	2021-02-28	1460.49	1414.904
Crypto	BTC-USD	2021-02-28	46169.92	45231.75
Crypto	ETH-USD	2021-03-01	1424.4	1569.8
Crypto	BTC-USD	2021-03-01	45231.74	49580
Crypto	ETH-USD	2021-03-02	1571.87	1488.34
Crypto	BTC-USD	2021-03-02	49635.3	48511.6
Crypto	ETH-USD	2021-03-03	1488.34	1566.41
Crypto	BTC-USD	2021-03-03	48502.18	50400
Crypto	ETH-USD	2021-03-04	1567.9	1539.19
Crypto	BTC-USD	2021-03-04	50370.33	48330
Crypto	ETH-USD	2021-03-05	1539.53	1529.05
Crypto	BTC-USD	2021-03-05	48370.97	48769.47
Crypto	ETH-USD	2021-03-06	1528.82	1650.6
Crypto	BTC-USD	2021-03-06	48766.01	48907.77
Crypto	ETH-USD	2021-03-07	1651.08	1728.22
Crypto	BTC-USD	2021-03-07	48909.84	50952.19
Crypto	ETH-USD	2021-03-08	1727.95	1833.68
Crypto	BTC-USD	2021-03-08	50976.22	52415.23
Crypto	ETH-USD	2021-03-09	1833.4	1871.99
Crypto	BTC-USD	2021-03-09	52399	54920.13
Crypto	ETH-USD	2021-03-10	1873	1795.37
Crypto	BTC-USD	2021-03-10	54955.30786704	55985
Crypto	ETH-USD	2021-03-11	1795.55	1824.128
Crypto	BTC-USD	2021-03-11	55918.09	57815.47
Crypto	ETH-USD	2021-03-12	1827.54	1767.35
Crypto	BTC-USD	2021-03-12	57807	57234
Crypto	ETH-USD	2021-03-13	1766.76	1921.5
Crypto	BTC-USD	2021-03-13	57220.84	61202.887014
Crypto	ETH-USD	2021-03-14	1922.467	1847.96830749
Crypto	BTC-USD	2021-03-14	61184.67	59000
Crypto	ETH-USD	2021-03-15	1848.56	1796
Crypto	BTC-USD	2021-03-15	58972.71	55636.15
Crypto	ETH-USD	2021-03-16	1796.8	1805
Crypto	BTC-USD	2021-03-16	55616.42	56900.79
Crypto	ETH-USD	2021-03-17	1805.7	1824.74
Crypto	BTC-USD	2021-03-17	56908.35	58925.54
Crypto	ETH-USD	2021-03-18	1821.8524069	1776.4
Crypto	BTC-USD	2021-03-18	58867	57644.95
Crypto	ETH-USD	2021-03-19	1776.4	1808.269
Crypto	BTC-USD	2021-03-19	57642	58039.66
Crypto	ETH-USD	2021-03-20	1808.95	1806.47
Crypto	BTC-USD	2021-03-20	58049	58116.7
Crypto	ETH-USD	2021-03-21	1806.02	1784
Crypto	BTC-USD	2021-03-21	58126.34	57363.32
Crypto	ETH-USD	2021-03-22	1784.12	1681.02
Crypto	BTC-USD	2021-03-22	57377.29	54110.07
Crypto	ETH-USD	2021-03-23	1682	1668.38
Crypto	BTC-USD	2021-03-23	54120.45	54351.88
Crypto	ETH-USD	2021-03-24	1668.4	1585.8
Crypto	BTC-USD	2021-03-24	54333.27	52276.16
Crypto	ETH-USD	2021-03-25	1585.8	1587.08
Crypto	BTC-USD	2021-03-25	52222.16	51325.01
Crypto	ETH-USD	2021-03-26	1587	1700.1
Crypto	BTC-USD	2021-03-26	51320.76	54993
Crypto	ETH-USD	2021-03-27	1699.97	1713.88
Crypto	BTC-USD	2021-03-27	54975	55856.53
Crypto	ETH-USD	2021-03-28	1713.8	1687.2
Crypto	BTC-USD	2021-03-28	55856.54	55778.82
Crypto	ETH-USD	2021-03-29	1686.92	1815.73
Crypto	BTC-USD	2021-03-29	55781.22	57609.4
Crypto	ETH-USD	2021-03-30	1818.2	1841.16
Crypto	BTC-USD	2021-03-30	57613.76	58786.46
